,Headlines,Time,Sentiment
26,"Cramer's week ahead: Big business is bouncing back, and bouncing back with a vengeance"," 7:27  PM ET Thu,  2 July 2020",5
27,Cramer's lightning round: I don't like Archer-Daniels-Midland Co," 7:37  PM ET Thu,  2 July 2020",1
28,Sustainable produce supplier Apeel lands deal with Wakefern grocery stores," 7:00  PM ET Thu,  2 July 2020",5
29,Jim Cramer deciphers the speculative and blue-chip stocks driving the market," 8:35  PM ET Wed,  1 July 2020",3
30,Cramer's lightning round: BlackRock is a buy," 8:00  PM ET Wed,  1 July 2020",5
32,"The S&P 500 'could get ugly' in the near future, Jim Cramer warns"," 7:13  PM ET Wed,  1 July 2020",3
33,Conagra CEO on revamping Mrs. Butterworth's brand: 'Perception is reality'," 8:00  PM ET Tue, 30 June 2020",4
34,Cramer's lightning round: Nokia has 'good things coming'," 7:33  PM ET Tue, 30 June 2020",5
35,Jim Cramer breaks down his favorite stocks from a record second quarter," 7:28  PM ET Tue, 30 June 2020",5
36,Jim Cramer: We saw a lot of 'encouraging signs' in Monday's session," 7:41  PM ET Mon, 29 June 2020",3
37,Cramer's lightning round: James Taiclet will make Lockheed Martin some money," 7:14  PM ET Mon, 29 June 2020",4
38,Restaurant Brands CEO: Popeyes' chicken sandwich has had an unprecedented impact on business," 7:02  PM ET Mon, 29 June 2020",4
39,"Cramer adds new stocks, recommends buying 12 laggards in his Covid-19 index"," 7:01  PM ET Mon, 29 June 2020",5
40,Marc Benioff says 35 states are now using Salesforce's contact tracing technology for coronavirus," 7:36  PM ET Thu, 25 June 2020",1
41,Cramer's lightning round: Stay in Yeti," 7:31  PM ET Thu, 25 June 2020",5
42,"The stay-at-home stocks surged as Texas paused reopening, Jim Cramer says"," 7:02  PM ET Thu, 25 June 2020",2
43,"The Awaken America trade has taken a turn for the worse, Jim Cramer warns"," 9:02  PM ET Wed, 24 June 2020",1
44,Cramer's lightning round: Buy Ulta Beauty," 7:36  PM ET Wed, 24 June 2020",5
45,Rhode Island governor mulls restrictions on travelers from coronavirus hotspot states," 6:59  PM ET Wed, 24 June 2020",1
47,"Albertsons stock is worth buying at $25 after it IPOs, Jim Cramer says","10:30  AM ET Fri, 26 June 2020",1
48,"The U.S. recovery might not be V-shaped, but 'more like a square-root sign': Blackstone"," 5:12  AM ET Wed, 24 June 2020",3
49,We expect a U-shaped economic recovery: Strategist,"10:09  PM ET Tue, 23 June 2020",4
50,Jim Cramer says playing Larry Williams' Fourth of July trade 'makes a lot of sense'," 8:08  PM ET Tue, 23 June 2020",4
51,Cramer's lightning round: Two thumbs up for AstraZeneca," 7:13  PM ET Tue, 23 June 2020",5
52,Impossible Foods CEO says the meat industry will be obsolete in 15 years — 'That's our mission',"10:40  PM ET Tue, 23 June 2020",1
54,"Spotify's story is starting to mirror Netflix's, Jim Cramer says"," 8:29  PM ET Mon, 22 June 2020",3
55,"Recession and recovery stocks are working, but the trend is not sustainable, Jim Cramer says"," 8:24  PM ET Mon, 22 June 2020",2
56,Barstool's Dave Portnoy says he'll focus on sports betting when sports return," 7:06  PM ET Mon, 22 June 2020",1
57,Cramer's lightning round: Caterpillar needs an acceleration of our economy," 7:02  PM ET Mon, 22 June 2020",3
58,Nielsen CEO explains why he took on the additional role of chief diversity officer," 1:49  PM ET Sun, 21 June 2020",4
59,"Charts suggest new highs 'could be on the table' for the S&P 500, Jim Cramer says"," 7:47  PM ET Thu, 18 June 2020",3
60,Cramer's lightning round: A patient person can wait for GE to payoff," 7:24  PM ET Thu, 18 June 2020",1
61,Jim Cramer: 10 bull markets on Wall Street and the stocks leading the way," 7:02  PM ET Thu, 18 June 2020",5
62,Cramer's lightning round: STMicroelectronics is a 'very good company'," 7:17  PM ET Wed, 17 June 2020",5
63,Union Pacific CEO sees 'signs of optimism' in multiple markets as economy recovers," 7:12  PM ET Wed, 17 June 2020",4
64,"Royal Pharma came public in a 'golden age of medical research,' Jim Cramer says"," 6:54  PM ET Wed, 17 June 2020",5
65,Cramer advises investors to continue investing based on the 'new normal'," 6:44  PM ET Wed, 17 June 2020",4
66,"Cramer channels Wall Street legend Martin Zweig: 'Don't fight the tape, don't fight the Fed'"," 8:11  PM ET Tue, 16 June 2020",1
67,Cramer reacts to Trump administration's potential $1 trillion infrastructure proposal," 7:00  PM ET Tue, 16 June 2020",4
69,Cramer's lightning round: Let's buy some Pinterest," 6:57  PM ET Tue, 16 June 2020",5
70,Canopy Growth CEO expects weed will be legalized federally by 2022," 6:57  PM ET Tue, 16 June 2020",3
71,"Campbell Soup CEO says June pantry sales are unusually high, despite reopening economy"," 7:37  PM ET Mon, 15 June 2020",2
72,Cramer's lightning round: Virgin Galactic is 'too dangerous a game for me'," 7:32  PM ET Mon, 15 June 2020",1
73,Jim Cramer: Investors concerned about spiking coronavirus cases should buy these stocks," 7:23  PM ET Mon, 15 June 2020",4
74,Cramer recommends buying these 17 cloud stocks based on the 'Rule of 40'," 8:21  PM ET Fri, 12 June 2020",5
76,Cramer's week ahead: This is the 'most overbought market in history'," 8:03  PM ET Fri, 12 June 2020",1
77,Centene CEO calls for better education for at-risk youth as one solution to racial disparities," 8:26  PM ET Fri, 12 June 2020",3
78,Cramer's lightning round: Alibaba is the only Chinese stock I recommend," 7:15  PM ET Fri, 12 June 2020",1
79,Pullback on Nasdaq a good opportunity to join the uptrend: Daryl Guppy,"10:22  PM ET Thu, 11 June 2020",4
80,'The threats are becoming higher' — L3Harris CEO says tech is driving the future of warfare," 8:56  PM ET Thu, 11 June 2020",3
81,"CEO of Tommy Hilfiger owner vows to 'do better' on corporate diversity, social justice"," 8:18  PM ET Thu, 11 June 2020",1
82,Cramer's lightning round: I don't want anything to do with a real estate development company," 7:05  PM ET Thu, 11 June 2020",1
83,Cramer recommends buying these stocks after Thursday's brutal rout," 4:41  AM ET Fri, 12 June 2020",5
84,Cramer's lightning round: Cloudflare is good," 6:59  PM ET Wed, 10 June 2020",4
85,"Wall Street can't rally much higher without a coronavirus vaccine, Jim Cramer warns"," 6:59  PM ET Wed, 10 June 2020",1
86,"Polaris has a 'once-in-a-generation opportunity,' Jim Cramer says"," 6:40  PM ET Wed, 10 June 2020",4
87,"Hertz's stock may look cheap, but Cramer cautions against buying it"," 7:41  PM ET Tue,  9 June 2020",3
88,Cramer's lightning round: General Mills and Axon Enterprise are worth a buy," 7:08  PM ET Tue,  9 June 2020",5
89,Cramer urges investors to be wary of airline and cruise stocks — buy these 5 winners instead," 6:37  PM ET Tue,  9 June 2020",1
91,Markets could go even higher in this liquidity-driven rally: Professor," 2:43  AM ET Tue,  9 June 2020",2
92,Expect the Fed to continue to provide support to propel economy: Strategist,"10:36  PM ET Mon,  8 June 2020",3
93,Cramer's lightning round: Software maker Ping Identity is a buy," 7:41  PM ET Mon,  8 June 2020",5
94,Cramer: These are the stocks that helped power the Nasdaq to a record high during the pandemic," 7:39  PM ET Mon,  8 June 2020",5
95,CEO of Airstream maker says new people are seeing benefits of traveling by RV during pandemic," 6:50  PM ET Mon,  8 June 2020",1
96,Most global indexes have surpassed our 12-month targets: CIO,"11:54  AM ET Fri,  5 June 2020",5
98,"The future of commerce needs more diverse voices, Shopify COO says"," 8:53  PM ET Thu,  4 June 2020",3
99,Cramer's lightning round: Macy's stock can go higher," 7:21  PM ET Thu,  4 June 2020",3
100,Jim Cramer: The pandemic led to 'one of the greatest wealth transfers in history'," 7:20  PM ET Thu,  4 June 2020",5
101,Nancy Pelosi calls for 'very strong' change in response to nationwide unrest," 6:55  PM ET Thu,  4 June 2020",4
102,We stand behind our 3400 target for S&P 500 by Q1 2021: BMO Capital Markets," 3:19  AM ET Thu,  4 June 2020",5
103,Crowdstrike CEO explains how the future of remote work and security will look," 8:59  PM ET Wed,  3 June 2020",5
104,Cramer's lightning round: Microsoft fits the pattern of what this market wants," 8:21  PM ET Wed,  3 June 2020",5
105,Jim Cramer: Investors are rotating into and out of these stocks," 6:42  PM ET Wed,  3 June 2020",5
106,"China is the 'first leading indicator' of a rebound in autos, Marvell Tech CEO says"," 9:37  PM ET Tue,  2 June 2020",1
107,Cramer's lightning round: I'm starting to warm up again to Wells Fargo," 5:32  PM ET Wed,  3 June 2020",4
108,"China and Europe 'bailed our stock market out,' Jim Cramer says"," 6:48  PM ET Tue,  2 June 2020",1
109,"Camping and RV stocks are 'back in a big way,' Jim Cramer says"," 6:38  PM ET Tue,  2 June 2020",4
110,Chipotle CEO on stores damaged in protests: 'We can patch up and fix'," 9:07  PM ET Mon,  1 June 2020",1
111,Jim Cramer on Wall Street's relation to George Floyd protests: 'The market has no conscience'," 4:56  PM ET Tue,  2 June 2020",1
113,Cramer's lightning round: Harley-Davidson is not a buy,"10:36  AM ET Tue,  2 June 2020",1
114,Cramer's lightning round: Cognex manufactures in America and should be celebrated," 7:05  PM ET Fri, 29 May 2020",5
115,"Salesforce and Costco are flashing buy signals to investors, Jim Cramer says"," 6:59  PM ET Fri, 29 May 2020",1
116,Cramer's week ahead: This is a bad time for a trade war," 6:48  PM ET Fri, 29 May 2020",1
117,It's a good time to take profits from the US stock market: Analyst,"12:23  AM ET Fri, 29 May 2020",4
118,Cramer's lightning round: Buy AMD over Intel," 6:29  PM ET Fri, 29 May 2020",5
120,"Jim Cramer says market still in for a 'rough ride,' suggests sticking with remote tech stocks"," 7:54  AM ET Fri, 29 May 2020",2
121,Marc Benioff: Salesforce's deal with AT&T is one of the 'largest transactions we've ever done'," 6:51  PM ET Thu, 28 May 2020",1
122,"HP CEO commits to company's buyback program, says stock is 'undervalued'"," 8:51  PM ET Wed, 27 May 2020",1
123,Cramer's lightning round: Waste Management is a buy," 7:16  PM ET Wed, 27 May 2020",5
124,'I think they're confused' — Jim Cramer says bull investors have one thing wrong about the economy," 7:07  PM ET Wed, 27 May 2020",1
125,Corteva Agriscience expects mid-Michigan floods to have a 'minimal impact' on revenue," 8:56  PM ET Tue, 26 May 2020",3
126,Jim Cramer reveals what stocks to own if betting on a V-shaped recovery," 8:31  PM ET Tue, 26 May 2020",4
127,Cramer's lightning round: Canopy is 'most legit' of the cannabis stocks," 7:45  PM ET Tue, 26 May 2020",4
128,Jim Cramer shakes up his Cramer Covid-19 Index: Wall Street is 'more confident' about a recovery," 6:55  PM ET Tue, 26 May 2020",3
129,"Target saw strength in April 'across our entire portfolio,' CEO Brian Cornell says"," 7:19  PM ET Thu, 21 May 2020",5
130,"Shelter-in-place will have a 'lasting impact on consumer behavior,' Jim Cramer says"," 7:15  PM ET Thu, 21 May 2020",4
131,Cramer's lightning round: I prefer Tesla to Ford," 6:52  PM ET Thu, 21 May 2020",3
132,'Wall Street doesn't like ad hominem' — Jim Cramer warns of renewed U.S.-China tensions," 6:50  PM ET Thu, 21 May 2020",1
133,Cramer's lightning round: Consolidation is a 'positive' for Citrix Systems," 7:01  PM ET Wed, 20 May 2020",4
135,"FAANG emerges as the latest group to lead the market, Jim Cramer says"," 6:32  PM ET Wed, 20 May 2020",5
136,Lowe's to support reopening minority businesses with $25 million in grants," 6:18  PM ET Wed, 20 May 2020",5
137,Small and mid-cap equities are more reflective of the real U.S. economy: Wells Fargo," 4:42  AM ET Wed, 20 May 2020",3
138,"Coronavirus is powering the rush for web-based contact centers, Five9 CEO says"," 8:11  PM ET Tue, 19 May 2020",5
139,"'We've probably taken a depression off the table,' Jim Cramer says"," 8:01  PM ET Tue, 19 May 2020",2
140,Cramer's lightning round: Disney is going to get through this," 7:06  PM ET Tue, 19 May 2020",5
142,Jim Cramer: Chart action suggests more upside if the S&P 500 breaks key hurdle," 6:48  PM ET Tue, 19 May 2020",3
143,Cramer's lightning round: Penske Automotive is 'a very inexpensive stock'," 8:33  PM ET Mon, 18 May 2020",1
144,Jim Cramer advises investors not to get too optimistic over Moderna vaccine progress," 6:57  PM ET Mon, 18 May 2020",4
145,Here's what's driving stocks higher despite mounting economic worries: Kevin O'Leary," 9:45  AM ET Sat, 16 May 2020",3
146,DraftKings CEO: esports betting surged during pandemic due to 'pent-up demand' for sports," 9:54  AM ET Sat, 16 May 2020",1
147,Cramer's lightning round: Never buy Caterpillar going into a recession," 7:24  PM ET Fri, 15 May 2020",1
148,Cramer's week ahead: 'All bets are off' if another U.S.-China trade war sparks," 6:40  PM ET Fri, 15 May 2020",1
149,We favor US stocks over non-US stocks: Wells Fargo,"10:08  PM ET Thu, 14 May 2020",4
150,"New membership sign-ups 'on par' with last year, Planet Fitness CEO says"," 9:08  PM ET Thu, 14 May 2020",4
151,Cramer's lightning round: Callaway Golf is a stock investors can get long on," 7:13  PM ET Thu, 14 May 2020",4
152,"The big chains will be the last survivors without more stimulus relief, Jim Cramer warns"," 6:56  PM ET Thu, 14 May 2020",4
153,"Charts suggest more pain is in store before market reaches a 'buyable bottom,' Jim Cramer says"," 7:27  AM ET Fri, 15 May 2020",2
154,Cisco CEO Chuck Robbins: The future post-pandemic workplace will be based on a 'hybrid model'," 9:28  PM ET Thu, 14 May 2020",4
155,Cramer's lightning round: Shopify is the 'hottest stock in the market'," 6:55  PM ET Wed, 13 May 2020",5
157,"Charts show Nvidia, AMD and Qualcomm have 'a lot more room to run,' Jim Cramer says"," 6:55  PM ET Wed, 13 May 2020",3
158,"Jim Cramer reveals his playbook, says investors can start slowly buying stocks Thursday afternoon"," 6:33  PM ET Wed, 13 May 2020",4
159,"The US is running out of time to stave off a depression without reopening, Jim Cramer warns"," 8:45  PM ET Tue, 12 May 2020",1
160,"Uber should be willing to pay more in 'genius move' to buy GrubHub, Jim Cramer says"," 7:24  PM ET Tue, 12 May 2020",1
161,Cramer's lightning round: Dow Inc is 'not doing well'," 7:14  PM ET Tue, 12 May 2020",1
162,Speaker Nancy Pelosi: $3 trillion coronavirus relief bill is a 'big ticket' for a 'big problem'," 6:53  PM ET Tue, 12 May 2020",1
164,"Kevin O'Leary: If you're worried about dividend cuts, it's 'time to use actively managed ETFs'"," 2:53  PM ET Tue, 12 May 2020",3
165,"Coronavirus has ushered in the 'death of the call center,' LivePerson CEO says"," 2:37  PM ET Tue, 12 May 2020",1
166,Cramer's lightning round: 'You don't want to be around any company cutting dividends'," 8:24  PM ET Mon, 11 May 2020",1
167,Jim Cramer reviews top 10 stocks 'for this difficult moment' on the 'Cramer Covid-19 Index'," 7:19  PM ET Mon, 11 May 2020",5
168,"'Quality really matters' for investors in 2020, says 'Shark Tank's' Kevin O'Leary"," 3:50  PM ET Mon, 11 May 2020",2
169,"Dividend payers are still 'winners in this market,' ETF analyst says. Here's why"," 9:15  AM ET Sat,  9 May 2020",5
170,"Financials are flashing a 'warning sign' to investors, says trader"," 7:02  AM ET Fri,  8 May 2020",1
171,Norwegian Cruise Line CEO: 'We expect to sail sometime in 2020'," 9:01  PM ET Thu,  7 May 2020",3
172,Cramer's lightning round: 'I do not like the bank stocks'," 8:24  PM ET Thu,  7 May 2020",1
173,Jim Cramer on Moderna vaccine-sparked rally: 'Let's not get ahead of ourselves'," 7:56  PM ET Thu,  7 May 2020",1
174,'It was suddenly Cyber Monday' — Etsy CEO says sales spiked 79% in April," 7:11  PM ET Thu,  7 May 2020",1
175,Beyond Meat CEO looks to 'win consumers' over during meat supply shortage with 'value packs'," 8:52  PM ET Wed,  6 May 2020",1
176,Jim Cramer on Wall Street trading trends: 'This action makes little sense'," 7:37  PM ET Wed,  6 May 2020",3
177,Cramer's lightning round: 'General Dynamics is a very good long-term hold'," 7:21  PM ET Wed,  6 May 2020",4
179,"Facebook, Alphabet and Amazon are in a 'three-horse race' in advertising, Jim Cramer says"," 6:48  PM ET Wed,  6 May 2020",1
180,Markets are seeing light at the end of the tunnel: Fidelity," 3:24  AM ET Wed,  6 May 2020",4
181,Masimo CEO says its remote oxygen monitors were made to mitigate diseases like coronavirus," 9:36  PM ET Tue,  5 May 2020",3
182,Cramer's lighting round: JPMorgan Chase is an 'out-of-favor stock'," 7:11  PM ET Tue,  5 May 2020",3
183,"The 'beginning of the end' of the health-care recession is 'finally arising,' Jim Cramer says"," 8:48  PM ET Tue,  5 May 2020",4
184,"Many restaurants would 'shut down completely' under Tennessee's reopening guidelines, Jim Cramer says"," 6:57  PM ET Tue,  5 May 2020",2
186,Emergent Biosolutions CEO on Trump's promise for a vaccine this year — 'Nobody can guarantee anything'," 8:52  PM ET Mon,  4 May 2020",1
187,"Cramer's lightning round: 'If I really want solar, I want Tesla'"," 3:13  PM ET Tue,  2 June 2020",3
188,"Warren Buffett's exit from airline stocks is a wake-up call for index investors, Jim Cramer says"," 6:40  PM ET Mon,  4 May 2020",1
189,'She had the vision' — Salesforce's Benioff cites Rhode Island governor for contact tracing tools," 8:28  PM ET Mon,  4 May 2020",4
190,Here's how dividend-based ETFs are managing shareholder payout cuts: Issuer," 3:58  PM ET Mon,  4 May 2020",3
191,Time to sell in May and go away?," 4:56  AM ET Mon,  4 May 2020",1
192,Clorox CEO boosts ad spend by $50 million as disinfectant demand surges amid coronaviurs pandemic," 4:21  PM ET Wed,  6 May 2020",1
193,Cramer's week ahead: Wall Street is having a 'curb-your-enthusiasm moment'," 7:15  PM ET Fri,  1 May 2020",4
194,Cramer's lightning round: I am worried about Twilio," 7:13  PM ET Fri,  1 May 2020",3
195,"Estee Lauder CEO: 'Consumer finds a way to get the product,' as online sales grow double digits"," 7:01  PM ET Fri,  1 May 2020",5
196,'I think Reynolds is attractive' — Cramer makes buy call on newly public consumer goods company," 7:31  PM ET Fri,  1 May 2020",4
197,Cramer's lightning round: Wait for Raytheon to go lower and then buy," 7:12  PM ET Thu, 30 April 2020",1
198,Cramer says his most trusted indicator 'makes me concerned' about the market's trajectory,"10:54  AM ET Fri,  1 May 2020",5
199,Payroll processor ADP CEO says hiring data indicate the jobs market has begun to 'stabilize'," 9:24  PM ET Wed, 29 April 2020",3
201,Cramer's lightning round: I am all over TJX," 7:16  PM ET Wed, 29 April 2020",1
202,Jim Cramer on Wednesday's rally: 'Remdesivir is just what the doctor ordered'," 7:03  PM ET Wed, 29 April 2020",5
203,"Jim Cramer reacts to AMD, Starbucks, Boeing, GE and Alphabet earnings reports"," 6:48  PM ET Wed, 29 April 2020",5
204,Look to small-cap stocks for returns as markets recover: Citi,"11:35  PM ET Tue, 28 April 2020",2
205,"Nucor CEO sticks by dividend, predicts steel price bottom in second quarter"," 8:21  PM ET Tue, 28 April 2020",2
206,Cramer's lightning round: 'I have no long case for GM'," 7:45  PM ET Tue, 28 April 2020",3
208,"Wall Street's 'incredibly strong month' is based on 'hope,' Jim Cramer warns"," 6:44  PM ET Tue, 28 April 2020",5
209,Bulk of S&P 500 dividend yield looks 'sustainable' to me: Savita Subramanian," 2:01  AM ET Tue, 28 April 2020",4
210,Nvidia completes 'homerun deal' after closing $7 billion acquisition of Mellanox," 9:07  PM ET Mon, 27 April 2020",5
211,Jim Cramer: Remember these stocks the 'next time the market rolls over'," 3:53  PM ET Wed, 13 May 2020",5
212,Cramer's lightning round: I would be a buyer of Slack,"11:27  AM ET Fri, 29 May 2020",1
213,"The 'new normal' is a lot less investable as states reopen, Jim Cramer says"," 7:03  PM ET Mon, 27 April 2020",2
214,Technical analysis on oil and markets,"12:49  AM ET Mon, 27 April 2020",4
215,Cramer's lightning round: IHS Markit is a fintech that 'should be bought'," 8:10  PM ET Fri, 24 April 2020",1
216,Cramer's week ahead: This earnings week will be a 'tougher test'," 8:02  PM ET Fri, 24 April 2020",5
217,"'We are making a lot of money' amid the oil supply glut, Nordic American Tankers CEO says"," 8:15  PM ET Fri, 24 April 2020",1
218,"Impossible Foods CFO says its plant-based meat will soon be available in nearly 1,000 stores in US"," 7:53  PM ET Fri, 24 April 2020",1
219,We don't want our clients to chase this bounce: Strategist,"10:56  PM ET Thu, 23 April 2020",1
220,Jim Cramer: Stop buying index funds and buy these 'Covid winners'," 8:56  PM ET Thu, 23 April 2020",1
221,"Inovio expects to finish recruiting coronavirus vaccine volunteers by end of April, CEO says"," 8:17  PM ET Thu, 23 April 2020",1
223,Domino's CEO on advertising spending: 'We're not slowing down at all'," 7:43  PM ET Thu, 23 April 2020",1
224,Cramer's lightning round: Marvell Technology is 'Mr. 5G'," 7:46  PM ET Thu, 23 April 2020",5
225,"European, US markets could fall 15% 'below the lows we've already seen': Strategist"," 5:07  AM ET Thu, 23 April 2020",2
226,Digital Realty CEO says sustainability efforts are 'table stakes today'," 8:46  PM ET Wed, 22 April 2020",3
227,Cramer's lightning round: I think Roku is good," 7:48  PM ET Wed, 22 April 2020",4
228,"Victoria's Secret's woes are a microcosm for shopping malls, Jim Cramer says"," 7:20  PM ET Wed, 22 April 2020",5
230,"Stocks of 'good corporate citizens' such as Chipotle, Netflix are thriving, Jim Cramer says"," 6:46  PM ET Wed, 22 April 2020",1
231,"S&P 500 faces more weakness as pressure builds, chart analyst warns"," 7:17  AM ET Wed, 22 April 2020",2
232,Trump taps medical supplies-maker Puritan Medical to ramp up coronavirus swab testing production,"11:38  PM ET Tue, 21 April 2020",5
233,Markets may see middle of a V- and U-shaped recovery: Fidelity Investments,"11:17  PM ET Tue, 21 April 2020",3
234,"Charts show the US could be able to reopen for business in three weeks, Jim Cramer says"," 7:28  PM ET Tue, 21 April 2020",1
235,Cramer's lightning round: I like Broadcom so much," 9:24  PM ET Tue, 21 April 2020",5
236,Jim Cramer says it's a 'mistake' for investors to read too deep into the oil collapse," 6:58  PM ET Tue, 21 April 2020",1
237,"These stocks young investors are buying are 'very good for speculation,' Jim Cramer says"," 8:10  PM ET Tue, 21 April 2020",5
238,"Coronavirus harms the oil market more than OPEC friction, oil commodities expert says"," 9:08  PM ET Mon, 20 April 2020",1
239,Jim Cramer: Chipotle is a buy at this price," 7:45  PM ET Mon, 20 April 2020",5
240,"Oil market is 'emblematic' of everything wrong with the economy, Jim Cramer says"," 8:11  PM ET Mon, 20 April 2020",1
241,Jim Cramer: Banks 'may need to say goodbye to their dividends'," 8:52  PM ET Thu, 16 April 2020",3
242,Jim Cramer advises investors to sell these groups of stocks 'whenever they bounce'," 7:55  PM ET Thu, 16 April 2020",1
243,Cramer's lightning round: How to trade Delta Air Lines," 7:42  PM ET Thu, 16 April 2020",5
245,Chubb CEO: Forcing insurers to pay pandemic loss claims is 'plainly unconstitutional',"12:59  PM ET Fri, 17 April 2020",1
246,Jim Cramer: Johnson & Johnson vaccine candidate makes these stocks compelling," 8:03  PM ET Wed, 15 April 2020",4
247,Cramer's lightning round: Amarin has been 'too much of a dice roll'," 7:42  PM ET Wed, 15 April 2020",2
248,Jim Cramer: 18 stock picks worth owning over the S&P 500," 7:07  PM ET Wed, 15 April 2020",5
249,"Parsley Energy CEO says Texas must cut oil production, which hasn't happened since the 1970s"," 6:49  PM ET Wed, 15 April 2020",3
250,The US consumer will guide the economy to a nice recovery: Strategist,"10:42  PM ET Tue, 14 April 2020",5
252,Cramer on viral 'Mad Money' picture: A 'seething anger sweeping this country' aimed at Wall Street," 7:05  PM ET Tue, 14 April 2020",1
253,Cramer's lightning round: Tesla goes higher. Period," 7:03  PM ET Tue, 14 April 2020",5
254,GlaxoSmithKline CEO calls coronavirus vaccine partnership with Sanofi 'unprecedented collaboration'," 1:48  PM ET Wed, 15 April 2020",1
255,"CARES Act opens path for companies to offer tax-free student loan benefits, startup Goodly CEO says","10:22  PM ET Mon, 13 April 2020",5
256,"The coronavirus pandemic 'creates an opportunity' for business, Levi Strauss CEO says"," 8:03  PM ET Mon, 13 April 2020",5
257,Cramer's lightning round: I think Starbucks is a buy," 7:48  PM ET Mon, 13 April 2020",5
258,Jim Cramer: 'I'm feeling more confident about the future'," 7:27  PM ET Mon, 13 April 2020",3
259,Cramer's week ahead: Washington is 'willing to spend big to keep this economy afloat'," 8:40  PM ET Thu,  9 April 2020",3
260,Cramer's lightning round: Calithera is a 'very good spec'," 8:26  PM ET Thu,  9 April 2020",4
261,Nancy Pelosi says it's unclear when US economy can reopen — 'We could have a depression'," 7:50  PM ET Thu,  9 April 2020",1
262,Jim Cramer spots 8 'instant winners' after China's Wuhan lockdown lifted,"10:06  PM ET Wed,  8 April 2020",5
263,Cramer's lightning round: I like Uber more than Lyft," 8:28  PM ET Wed,  8 April 2020",4
264,"This new normal 'matters for your life and your portfolio,' Jim Cramer says"," 8:04  PM ET Wed,  8 April 2020",5
265,Salesforce is working to bring another load of medical gear to the US this week," 8:13  PM ET Wed,  8 April 2020",5
267,Australia's parliament set to pass huge stimulus plan as S&P ratings agency lowers 'AAA' outlook,"12:31  AM ET Wed,  8 April 2020",3
268,Jim Cramer says there is a key difference between the 'coronavirus recession' and Great Recession," 9:00  PM ET Tue,  7 April 2020",4
269,"Jim Cramer: The VIX shows 'big fear' is out of the market, but stocks aren't 'ready to roar'"," 7:07  PM ET Tue,  7 April 2020",3
270,Cramer's lightning round: 'Take a look at Boeing'," 7:03  PM ET Tue,  7 April 2020",4
271,"Jim Cramer predicts 'U' shape recovery, says economy 'will bounce back gradually'"," 7:26  AM ET Wed,  8 April 2020",2
272,Cramer breaks down stay-at-home stock picks 'for the long haul'," 8:08  PM ET Mon,  6 April 2020",3
274,Cramer's lightning round: 'I don't want to own any insurance here'," 7:22  PM ET Mon,  6 April 2020",1
275,Jim Cramer: Jobless numbers matter more to market than potential peak in coronavirus transmissions," 7:01  PM ET Mon,  6 April 2020",2
276,Cramer's lightning round: Delta Air Lines is not a buy," 7:36  PM ET Fri,  3 April 2020",1
